id,respondent_id,datetime,stimulus_id,はやい-おそい,たかい-やすい,じょうぶ-よわい,でこぼこみち-きれいなみち,すき-きらい,おしゃれ-ださい,かっこいい-かわいい,じつよう-しゅみ,ちょうきょり-たんきょり
1,r_001,2026-05-21T09-29-37,s_003,3,2,5,6,2,2,1,7,5
2,r_001,2026-05-21T09-29-37,s_005,5,2,1,2,3,5,5,6,2
3,r_001,2026-05-21T09-29-37,s_002,2,1,5,7,2,3,2,6,7
4,r_001,2026-05-21T09-29-37,s_004,5,6,5,5,3,6,5,2,3
5,r_001,2026-05-21T09-29-37,s_001,5,5,2,5,5,3,3,2,3
1,r_002,2026-05-21T09-31-56,s_004,3,6,4,5,2,5,3,2,2
2,r_002,2026-05-21T09-31-56,s_005,6,2,2,2,2,4,5,5,2
3,r_002,2026-05-21T09-31-56,s_003,2,4,5,5,5,3,2,3,4
4,r_002,2026-05-21T09-31-56,s_002,2,3,6,6,6,2,2,3,5
5,r_002,2026-05-21T09-31-56,s_001,6,3,2,3,5,6,5,2,3
1,r_003,2026-05-21T09-33-59,s_003,3,3,5,5,3,3,3,3,4
2,r_003,2026-05-21T09-33-59,s_001,5,3,3,4,3,5,5,3,3
3,r_003,2026-05-21T09-33-59,s_002,3,3,5,5,3,3,3,5,5
4,r_003,2026-05-21T09-33-59,s_004,5,5,5,4,3,5,5,3,3
5,r_003,2026-05-21T09-33-59,s_005,5,3,3,3,3,3,3,5,3
1,r_004,2026-05-21T09-36-49,s_005,7,1,1,1,1,7,7,1,1
2,r_004,2026-05-21T09-36-49,s_002,1,1,7,7,1,7,1,7,7
3,r_004,2026-05-21T09-36-49,s_001,7,7,1,1,1,7,1,1,1
4,r_004,2026-05-21T09-36-49,s_003,7,7,7,7,7,7,1,1,7
5,r_004,2026-05-21T09-36-49,s_004,7,7,7,7,1,1,7,1,1
1,r_005,2026-05-21T09-38-53,s_002,2,1,7,7,4,3,2,7,7
2,r_005,2026-05-21T09-38-53,s_001,5,6,1,4,4,6,5,2,3
3,r_005,2026-05-21T09-38-53,s_003,3,2,5,5,3,2,4,5,3
4,r_005,2026-05-21T09-38-53,s_005,6,2,1,1,2,3,6,6,3
5,r_005,2026-05-21T09-38-53,s_004,4,5,4,4,5,5,5,2,3
1,r_006,2026-05-21T09-43-20,s_001,6,3,2,5,4,6,5,2,3
2,r_006,2026-05-21T09-43-20,s_004,3,6,4,5,5,5,6,2,3
3,r_006,2026-05-21T09-43-20,s_005,6,2,1,1,3,3,6,6,3
4,r_006,2026-05-21T09-43-20,s_002,1,1,6,7,3,4,2,7,7
5,r_006,2026-05-21T09-43-20,s_003,3,3,4,6,3,3,2,6,5
1,r_007,2026-05-21T09-46-42,s_005,6,3,2,1,3,2,3,6,3
2,r_007,2026-05-21T09-46-42,s_001,6,3,2,5,3,6,3,2,3
3,r_007,2026-05-21T09-46-42,s_004,5,6,5,5,3,6,6,3,3
4,r_007,2026-05-21T09-46-42,s_003,2,3,5,5,3,3,3,6,4
5,r_007,2026-05-21T09-46-42,s_002,1,2,6,5,3,3,3,6,6
1,r_008,2026-05-21T09-53-37,s_001,6,3,2,3,5,5,5,2,3
2,r_008,2026-05-21T09-53-37,s_004,3,6,3,5,5,6,6,1,2
3,r_008,2026-05-21T09-53-37,s_002,1,1,6,7,3,3,1,7,7
4,r_008,2026-05-21T09-53-37,s_003,2,2,5,5,3,3,3,6,3
5,r_008,2026-05-21T09-53-37,s_005,7,1,1,2,2,2,7,6,3
1,r_009,2026-05-21T11-39-59,s_003,2,2,3,5,2,2,2,5,3
2,r_009,2026-05-21T11-39-59,s_001,5,3,2,4,3,6,3,3,2
3,r_009,2026-05-21T11-39-59,s_002,2,2,5,7,4,3,2,7,6
4,r_009,2026-05-21T11-39-59,s_004,5,6,3,5,3,7,5,2,3
5,r_009,2026-05-21T11-39-59,s_005,6,2,2,1,2,2,7,3,1
1,r_010,2026-05-21T12-11-13,s_004,6,6,3,5,3,6,5,2,3
2,r_010,2026-05-21T12-11-13,s_001,6,3,3,3,5,6,3,2,3
3,r_010,2026-05-21T12-11-13,s_002,1,1,6,7,3,4,2,7,7
4,r_010,2026-05-21T12-11-13,s_003,2,2,3,5,3,2,2,6,3
5,r_010,2026-05-21T12-11-13,s_005,7,2,2,1,2,3,6,6,3
1,r_011,2026-05-21T12-48-41,s_001,7,2,2,4,3,6,5,2,3
2,r_011,2026-05-21T12-48-41,s_004,5,6,3,5,3,6,6,2,2
3,r_011,2026-05-21T12-48-41,s_003,2,2,4,6,3,3,3,6,2
4,r_011,2026-05-21T12-48-41,s_002,1,2,7,7,5,2,2,7,6
5,r_011,2026-05-21T12-48-41,s_005,6,2,1,1,2,3,6,6,3
